num_correct,num_samples,loss,client_id,round_number
8,180,3.5399932066599527,ddedba85,0
4,177,3.5401044686635337,b5cf6ea8,0
8,252,3.541442632675171,c50f55b8,0
7,164,3.5506929556528726,c1d39ce8,0
10,210,3.544822931289673,893705bb,0
7,148,3.5546065966288247,4c6167ca,0
8,188,3.547074317932129,2aca1e72,0
4,146,3.5474159717559814,5f9cd2eb,0
5,200,3.553185820579529,cce7416f,0
3,148,3.546185572942098,ef3367d9,0
29,180,5.141894340515137,ddedba85,10
115,177,1.2465829849243164,b5cf6ea8,10
127,210,1.3835945427417755,893705bb,10
40,148,2.6927595138549805,4c6167ca,10
106,252,1.829349398612976,c50f55b8,10
38,164,4.450161139170329,c1d39ce8,10
123,200,1.2512872517108917,cce7416f,10
65,148,1.9938060839970906,ef3367d9,10
30,188,4.140196005503337,2aca1e72,10
67,146,2.0605615774790444,5f9cd2eb,10
125,180,1.1262457370758057,ddedba85,20
84,177,2.0136990547180176,b5cf6ea8,20
158,210,0.7657533437013626,893705bb,20
80,148,1.6985217730204265,4c6167ca,20
86,252,2.1506046652793884,c50f55b8,20
96,164,1.7357983191808064,c1d39ce8,20
24,188,5.784206708272298,2aca1e72,20
95,146,1.3898354768753052,5f9cd2eb,20
173,200,0.4971374422311783,cce7416f,20
90,148,1.3363695939381917,ef3367d9,20
147,180,0.6825734774271647,ddedba85,30
108,177,1.2531804243723552,b5cf6ea8,30
250,252,0.096911346539855,c50f55b8,30
63,164,3.0455093383789062,c1d39ce8,30
136,210,1.0273662358522415,893705bb,30
73,148,1.8005645672480266,4c6167ca,30
64,188,2.557276169459025,2aca1e72,30
89,146,1.3997467358907063,5f9cd2eb,30
174,200,0.4018789231777191,cce7416f,30
103,148,1.062142014503479,ef3367d9,30
